day,Kim,paco,tabixe,cutiglias,Manu,bcalle
2021-03-31,,50,30,120,0,
2021-04-01,,0,130,60,0,
2021-04-02,,0,,,0,
2021-04-03,,0,,,0,
2021-04-04,,0,,,0,
2021-04-05,,0,,,0,
2021-04-06,,50,205,,0,
2021-04-07,,200,275,160,0,
2021-04-08,,50,130,135,0,
2021-04-09,,180,127,135,0,
2021-04-10,,0,,,0,
2021-04-11,,0,,,0,
2021-04-12,,75,245,,0,
2021-04-13,,145,60,,0,
2021-04-14,,125,350,160,0,
2021-04-15,,50,241,130,0,
2021-04-16,,75,172,,0,
2021-04-17,,0,,,0,
2021-04-18,,0,,,0,
2021-04-19,,75,88,,0,
2021-04-20,,190,170,,0,
2021-04-21,,260,279,135,0,
2021-04-22,,100,357,,0,
2021-04-23,,0,329,,0,
2021-04-24,,0,,,0,
2021-04-25,,0,,,0,
2021-04-26,,100,196,125,0,
2021-04-27,,210,292,210,0,
2021-04-28,,270,336,,0,
2021-04-29,,90,442,,0,
2021-04-30,,90,70,,0,
2021-05-01,,0,,,0,
2021-05-02,,0,,,0,
2021-05-03,,0,,,0,
2021-05-04,,25,285,110,195,
2021-05-05,,75,396,190,0,
2021-05-06,,101,308,40,0,
2021-05-07,,145,80,,0,
2021-05-08,,0,,,0,
2021-05-09,,0,,,0,
2021-05-10,,215,170,115,0,
2021-05-11,,150,390,125,0,
2021-05-12,,160,340,210,0,
2021-05-13,,175,260,105,0,
2021-05-14,,0,115,,0,
2021-05-15,,0,,,0,
2021-05-16,,0,,,0,
2021-05-17,,85,278,100,0,
2021-05-18,,190,135,125,0,
2021-05-19,,75,277,1,0,
2021-05-20,,75,305,,150,
2021-05-21,,25,232,,0,
2021-05-22,,0,,,0,
2021-05-23,,0,,,0,
2021-05-24,,230,305,,190,
2021-05-25,,155,210,130,110,
2021-05-26,,265,160,135,230,
2021-05-27,,190,100,160,238,
2021-05-28,,345,180,,125,
2021-05-29,,115,,,0,
2021-05-30,,50,,,0,
2021-05-31,,175,,105,0,
2021-06-01,,125,55,185,170,
2021-06-02,,245,170,135,0,
2021-06-03,,195,355,,0,
2021-06-04,,215,135,,0,
2021-06-05,,110,,,0,
2021-06-06,,167,,,0,
2021-06-07,,345,,110,0,
2021-06-08,,75,90,110,0,
2021-06-09,,220,292,110,0,
2021-06-10,,50,140,230,0,
2021-06-11,,0,259,185,0,
2021-06-12,,150,,,0,
2021-06-13,,50,,,0,
2021-06-14,,175,347,85,0,
2021-06-15,,235,195,185,0,
2021-06-16,,270,107,85,120,
2021-06-17,,160,70,80,0,
2021-06-18,,240,140,,0,
2021-06-19,,0,,,0,
2021-06-20,,0,,,0,
2021-06-21,,0,210,,0,
2021-06-22,,0,40,85,0,
2021-06-23,,235,276,,0,
2021-06-24,,150,40,100,0,
2021-06-25,,50,,,0,
2021-06-26,,0,,,0,
2021-06-27,,150,,,0,
2021-06-28,,110,95,,60,
2021-06-29,,175,115,60,0,
2021-06-30,,140,126,80,0,
2021-07-01,,260,243,,120,
2021-07-02,,285,,,120,
2021-07-03,,0,,,0,
2021-07-04,,0,,,0,
2021-07-05,,125,,,0,
2021-07-06,,100,,,0,
2021-07-07,,50,,,0,
2021-07-08,,125,,,0,
2021-07-09,,100,,,0,
2021-07-10,,0,,,0,
2021-07-11,,0,,,0,
2021-07-12,,0,182,85,0,
2021-07-13,,0,242,25,0,
2021-07-14,,0,191,50,0,
2021-07-15,,0,274,,0,
2021-07-16,,0,190,,0,
2021-07-17,,0,,,0,
2021-07-18,,0,,,0,
2021-07-19,,0,115,85,0,
2021-07-20,,0,120,,0,
2021-07-21,,0,303,,0,
2021-07-22,,0,309,,0,
2021-07-23,,0,105,,0,
2021-07-24,,0,,,0,
2021-07-25,,0,,,0,
2021-07-26,,0,225,,0,
2021-07-27,,75,40,,0,
2021-07-28,,100,,,0,
2021-07-29,,50,60,,0,
2021-07-30,,25,10,,0,
2021-07-31,,0,,,0,
2021-08-01,,50,,,0,
2021-08-02,,115,,,0,
2021-08-03,,75,,,0,
2021-08-04,,320,89,,0,
2021-08-05,,140,324,,0,
2021-08-06,,165,160,,0,
2021-08-07,,63,,,0,
2021-08-08,,75,,,0,
2021-08-09,,100,,,0,
2021-08-10,,145,,,0,
2021-08-11,,235,,,0,
2021-08-12,,191,,,0,
2021-08-13,,115,,,0,
2021-08-14,,0,,,0,
2021-08-15,,50,,,0,
2021-08-16,,120,,,0,
2021-08-17,,185,,,0,
2021-08-18,,240,,,0,
2021-08-19,,110,,,0,
2021-08-20,,135,,,0,
2021-08-21,,40,,,0,
2021-08-22,,0,,,0,
2021-08-23,,25,,,0,
2021-08-24,,0,19,40,0,
2021-08-25,,60,175,,0,
2021-08-26,,35,70,70,0,
2021-08-27,,30,,,0,
2021-08-28,,100,,,0,
2021-08-29,,100,,,0,
2021-08-30,,225,,,0,
2021-08-31,,290,,,0,
2021-09-01,,75,140,100,0,
2021-09-02,,150,229,,0,
2021-09-03,,290,30,,0,
2021-09-04,,180,0,,0,
2021-09-05,,120,0,,0,
2021-09-06,,170,135,,0,
2021-09-07,,150,150,75,0,
2021-09-08,,335,195,30,0,
2021-09-09,,360,165,,0,
2021-09-10,,270,194,125,0,
2021-09-11,,95,0,,0,
2021-09-12,,225,0,,0,
2021-09-13,,295,98,105,0,
